Symbol,Score,Grade,Decision,RVOL,Price,Change%,Gap%,Float_M,Catalyst
BZAI,45,A,GO,14.9,2.06,+18.8,+0.0,83.2,"Blaize Holdings And NeoTensr Announce Up To $50M Contract To Jointly Develop And"
BIRD,42,A,GO,13.8,12.00,+10.0,+0.0,5.5,"Allbirds stock on track for 400% gain this week as the shoemaker pivots to AI"
FRMM,41,A,GO,26.4,2.79,+17.7,+0.0,9.1,"Benchmark Flags Forum Markets; Incorporated (FRMM) Exposure to Expanding RWA Tok"
MYSE,41,A,GO,46.1,3.53,+7.0,+0.0,4.0,"Why Is Myseum Stock (MYSE) Soaring Today; 04/16/26?"
CRML,40,A,GO,16.3,12.16,+31.2,+0.0,62.8,"Greenland Government Approves Transfer of Final 50.5% of Tanbreez; Taking Critic"
PBM,39,B,WAIT,23.3,8.09,+37.8,+0.0,0.2,"Psyence BioMed Welcomes U.S. Executive Action to Advance Research into Ibogaine"
WSHP,39,B,WAIT,72.6,15.76,+10.5,+0.0,1.3,"What's Going On With Interactive Media Company WeShop Stock Today?"
RPAY,36,B,WAIT,103.6,4.02,+26.4,+0.0,65.1,"Repay Shareholder Forager Capital Management Proposes to Acquire Company; Shares"
KURA,35,B,WAIT,4.6,9.85,+10.2,+0.0,85.6,"Sector Update: Health Care Stocks Higher Pre-Bell Friday"
VIVO,33,B,WAIT,5.3,3.35,+18.7,+0.0,9.9,""
FLYX,32,B,WAIT,15.1,2.99,-3.7,+0.0,1.0,"FlyExclusive Launches Redesigned Membership Program"
SLNH,31,B,WAIT,6.5,1.15,+2.2,+0.0,73.1,"Soluna Acquires Full Ownership of Project Dorothy 1A; Accelerating Vertical Inte"
