file_id,name,current_parent_path,full_path,proposed_action,proposed_target_path,reason,confidence,delete_candidate,requires_operator_approval,canonical_replacement_id,notes
1ltTVpOwRPB5UQxA_13YEe6cVBdK27_SQ,final_docs_update_20260529.tgz,Trade_AI_Docs_v2,Trade_AI_Docs_v2/final_docs_update_20260529.tgz,MOVE_TO_ARTIFACTS,20_ARTIFACT_PACKAGES/final_docs_update_20260529.tgz,Loose root TGZ package,high,False,True,,
1uQY6PvT3cvDPGcHf9CzvAu2qryhbrCjj,session_final_update_20260529.tgz,Trade_AI_Docs_v2,Trade_AI_Docs_v2/session_final_update_20260529.tgz,MOVE_TO_ARTIFACTS,20_ARTIFACT_PACKAGES/session_final_update_20260529.tgz,Loose root TGZ package,high,False,True,,
1DY_kup-0QgZyHSfE74ibvLhrJCLYkLqa,playwright_journal_backtest_20260529_1506.tgz,Trade_AI_Docs_v2,Trade_AI_Docs_v2/playwright_journal_backtest_20260529_1506.tgz,MOVE_TO_ARTIFACTS,20_ARTIFACT_PACKAGES/playwright_journal_backtest_20260529_1506.tgz,Loose root TGZ package,high,False,True,,
1HqVz_elKG5RXh4OyvSSEki-0x5Kf0ttp,playwright_journal_backtest_20260529_1506.tgz,Trade_AI_Docs_v2,Trade_AI_Docs_v2/playwright_journal_backtest_20260529_1506.tgz,MOVE_TO_ARTIFACTS,20_ARTIFACT_PACKAGES/playwright_journal_backtest_20260529_1506.tgz,Loose root TGZ package,high,False,True,,
1rGumb6WFvvfCFppqzIw20xICzLFJWbvw,prompts_1_2_3_2026_05_29.tgz,Trade_AI_Docs_v2,Trade_AI_Docs_v2/prompts_1_2_3_2026_05_29.tgz,MOVE_TO_ARTIFACTS,20_ARTIFACT_PACKAGES/prompts_1_2_3_2026_05_29.tgz,Loose root TGZ package,high,False,True,,
1FstAp7k2EzNDES7Si1mXeVovRs2rzM23,playwright_journal_backtest_20260529_1421.tgz,Trade_AI_Docs_v2,Trade_AI_Docs_v2/playwright_journal_backtest_20260529_1421.tgz,MOVE_TO_ARTIFACTS,20_ARTIFACT_PACKAGES/playwright_journal_backtest_20260529_1421.tgz,Loose root TGZ package,high,False,True,,
1QZecaFEbtf1iaSJlqcHIgFHshnjHdEU9,session_2026_05_29_final.tgz,Trade_AI_Docs_v2,Trade_AI_Docs_v2/session_2026_05_29_final.tgz,MOVE_TO_ARTIFACTS,20_ARTIFACT_PACKAGES/session_2026_05_29_final.tgz,Loose root TGZ package,high,False,True,,
1AOJbkei8usJmihOwlS02j4Nn7CPHDd6b,p1_phase_b_2026_05_29.tgz,Trade_AI_Docs_v2,Trade_AI_Docs_v2/p1_phase_b_2026_05_29.tgz,MOVE_TO_ARTIFACTS,20_ARTIFACT_PACKAGES/p1_phase_b_2026_05_29.tgz,Loose root TGZ package,high,False,True,,
1m3HePQbEaqSU_YY1t9qu3Ae6pvvi2Drc,p1_phase_a_2026_05_29.tgz,Trade_AI_Docs_v2,Trade_AI_Docs_v2/p1_phase_a_2026_05_29.tgz,MOVE_TO_ARTIFACTS,20_ARTIFACT_PACKAGES/p1_phase_a_2026_05_29.tgz,Loose root TGZ package,high,False,True,,
1jKA9Dauuv8AGu3L1Y4w5OGQRtIml9y2s,shfs_860_apply_2026_05_29.tgz,Trade_AI_Docs_v2,Trade_AI_Docs_v2/shfs_860_apply_2026_05_29.tgz,MOVE_TO_ARTIFACTS,20_ARTIFACT_PACKAGES/shfs_860_apply_2026_05_29.tgz,Loose root TGZ package,high,False,True,,
1TGBnIgwKFpjXAjOMoJCedv4R9SwfsRCM,shfs_860_dry_run_2026_05_29.tgz,Trade_AI_Docs_v2,Trade_AI_Docs_v2/shfs_860_dry_run_2026_05_29.tgz,MOVE_TO_ARTIFACTS,20_ARTIFACT_PACKAGES/shfs_860_dry_run_2026_05_29.tgz,Loose root TGZ package,high,False,True,,
1_wl8p0dmJ6QVhhZjvIqDNimigkVFXEzf,p0_proposal_fixes_2026_05_29.tgz,Trade_AI_Docs_v2,Trade_AI_Docs_v2/p0_proposal_fixes_2026_05_29.tgz,MOVE_TO_ARTIFACTS,20_ARTIFACT_PACKAGES/p0_proposal_fixes_2026_05_29.tgz,Loose root TGZ package,high,False,True,,
1NEM-gcccx7HR_GtT0qjH5yrPbtU4tOpQ,proposal_backtest_enhancements_2026_05_29.tgz,Trade_AI_Docs_v2,Trade_AI_Docs_v2/proposal_backtest_enhancements_2026_05_29.tgz,MOVE_TO_ARTIFACTS,20_ARTIFACT_PACKAGES/proposal_backtest_enhancements_2026_05_29.tgz,Loose root TGZ package,high,False,True,,
1P2C0eN0MOx-aeBzhu-Ns2h6QIyJWCDZG,ROOT_CAUSE_ATM_DEAD_2026_05_26.md,Trade_AI_Docs_v2,Trade_AI_Docs_v2/ROOT_CAUSE_ATM_DEAD_2026_05_26.md,MOVE_TO_ARCHIVE,40_ARCHIVE/loose_root_files/ROOT_CAUSE_ATM_DEAD_2026_05_26.md,"Loose root markdown, likely duplicate of indexed doc",high,False,True,,
1Q1K3QnVB66lNBaif5hu-j0UfTNIGKq32,CURRENT_PROJECT_CONTEXT.md,Trade_AI_Docs_v2,Trade_AI_Docs_v2/CURRENT_PROJECT_CONTEXT.md,MOVE_TO_ARCHIVE,40_ARCHIVE/loose_root_files/CURRENT_PROJECT_CONTEXT.md,"Loose root markdown, likely duplicate of indexed doc",high,False,True,,
1S8VlP75ltHtWkQXL8ww7oGo___K1_lFP,ROOT_CAUSE_ATM_DEAD_2026_05_26.md,Trade_AI_Docs_v2,Trade_AI_Docs_v2/ROOT_CAUSE_ATM_DEAD_2026_05_26.md,MOVE_TO_ARCHIVE,40_ARCHIVE/loose_root_files/ROOT_CAUSE_ATM_DEAD_2026_05_26.md,"Loose root markdown, likely duplicate of indexed doc",high,False,True,,
1lsN2EvAhlY2gUwVjbaY81MFnEH-I85tk,atm_audit_2026_05_26_FULL_HANDOFF_20260526_1135.tgz,Trade_AI_Docs_v2/atm_audit_2026_05_26,Trade_AI_Docs_v2/atm_audit_2026_05_26/atm_audit_2026_05_26_FULL_HANDOFF_20260526_1135.tgz,KEEP_CURRENT,Trade_AI_Docs_v2/atm_audit_2026_05_26/atm_audit_2026_05_26_FULL_HANDOFF_20260526_1135.tgz,ATM audit content,high,False,False,,
1ywRPkox62mt_5NViyku1LCE3xwImbS_J,CAPITAL_ALLOCATION_AUDIT.md,Trade_AI_Docs_v2/atm_audit_2026_05_26,Trade_AI_Docs_v2/atm_audit_2026_05_26/CAPITAL_ALLOCATION_AUDIT.md,KEEP_CURRENT,Trade_AI_Docs_v2/atm_audit_2026_05_26/CAPITAL_ALLOCATION_AUDIT.md,ATM audit content,high,False,False,,
1GRA3xlL7dw8531hJYoKqQ17FyaEb2WtJ,ATM_SYSTEM_AUDIT.md,Trade_AI_Docs_v2/atm_audit_2026_05_26,Trade_AI_Docs_v2/atm_audit_2026_05_26/ATM_SYSTEM_AUDIT.md,KEEP_CURRENT,Trade_AI_Docs_v2/atm_audit_2026_05_26/ATM_SYSTEM_AUDIT.md,ATM audit content,high,False,False,,
19tjQO-YtpZTN-G2ft-Xx7gqe_HBYu22W,AGENT_MONITORING_AUDIT.md,Trade_AI_Docs_v2/atm_audit_2026_05_26,Trade_AI_Docs_v2/atm_audit_2026_05_26/AGENT_MONITORING_AUDIT.md,KEEP_CURRENT,Trade_AI_Docs_v2/atm_audit_2026_05_26/AGENT_MONITORING_AUDIT.md,ATM audit content,high,False,False,,
1gOSmKIrXcIsui1Pt-BYhkT2DGVetFh1J,AGENT_MONITORING_AUDIT.md,Trade_AI_Docs_v2/atm_audit_2026_05_26,Trade_AI_Docs_v2/atm_audit_2026_05_26/AGENT_MONITORING_AUDIT.md,KEEP_CURRENT,Trade_AI_Docs_v2/atm_audit_2026_05_26/AGENT_MONITORING_AUDIT.md,ATM audit content,high,False,False,,
