Symbol,Score,Grade,Decision,RVOL,Price,Change%,Gap%,Float_M,Catalyst
USEG,49,A_plus,GO,8.6,1.45,+55.9,+47.2,36.0,"Top movers in Monday's pre-market session"
RMAX,45,A,GO,5.2,10.06,+26.0,+19.8,15.3,"Re/Max shares rise 26.1% on acquisition deal with tech-focused real brokerage"
GLND,43,A,GO,28.9,6.77,+9.0,+28.4,9.3,"Greenland Energy (NASDAQ: GLND) Signs Halliburton Agreement for 2026 Jameson Lan"
HTCO,40,A,GO,19.1,18.47,+64.2,+13.8,2.4,"Top movers in Monday's pre-market session"
IPWR,39,B,WAIT,12.8,4.41,-2.0,+7.6,10.2,"Top stock movements in today's session."
TORO,38,B,WAIT,9.7,8.37,+21.3,+15.1,10.2,""
TRAK,36,B,WAIT,5.6,9.01,+11.0,+19.3,12.1,"Top movers in Monday's pre-market session"
ELPW,35,B,WAIT,19.8,4.17,+15.3,+23.8,1.4,"Top movers analysis one hour before the close of the markets on 2026-04-24: top "
QUIK,35,B,WAIT,6.6,16.38,+25.2,+10.9,16.1,""
SUPX,35,B,WAIT,15.6,8.94,+0.0,+10.6,8.8,""
KLTR,34,B,WAIT,6.0,1.55,+21.0,+9.4,72.6,"Daily – Vickers Top Insider Picks for 04/27/2026"
LAW,34,B,WAIT,6.6,4.83,+16.9,+16.2,24.6,""
MX,33,B,WAIT,6.2,4.93,-6.0,+7.1,26.6,"Magnachip (MX) Soars 23.0%: Is Further Upside Left in the Stock?"
SGMT,32,B,WAIT,7.2,8.06,+37.5,+23.2,27.1,"Sagimet Biosciences to Fund Phase 3 Acne Trial in US With $175 Million Offering"
RDZN,31,B,WAIT,8.8,1.37,+2.2,+5.2,48.9,"Roadzen’s VehicleCare Wins Major Claims Mandate from One of India’s Largest Insu"
