Symbol,Score,Grade,Decision,RVOL,Price,Change%,Gap%,Float_M,Catalyst
SAGT,50,A_plus,GO,11.5,2.48,+45.9,+80.3,0.3,"Get insights into the top gainers and losers of Wednesday's pre-market session."
FCEL,43,A,GO,9.8,11.07,+11.4,+14.3,52.9,"Bloom Energy Hikes AI-Fueled Outlook Above Views After Huge Earnings Beat"
TRAW,43,A,GO,12.9,1.29,+6.6,+15.7,7.7,"12 Health Care Stocks Moving In Wednesday's Pre-Market Session"
PRCH,42,A,GO,6.5,10.28,+19.7,+17.6,82.0,"Porch Group Inc (PRCH) Q1 2026 Earnings Call Highlights: Strong Growth and Raise"
KALV,41,A,GO,6.4,26.70,+38.8,+38.8,37.9,"Get insights into the top gainers and losers of Wednesday's pre-market session."
FVRR,39,B,WAIT,4.6,12.31,+18.8,+17.3,29.9,"Fiverr Jumps 10% After Revenue Beat and Upgraded Profit Outlook"
SKYQ,37,B,WAIT,32.9,6.25,+5.9,+6.8,3.0,"Sky Quarry Issues Request for Proposals to Accelerate Development of One Hundred"
RDZN,33,B,WAIT,9.3,1.62,+10.2,+13.6,48.9,"Loss-Making Roadzen; Inc. (NASDAQ:RDZN) Expected To Breakeven In The Medium-Term"
AKAN,32,B,WAIT,37.2,20.51,+17.3,+13.6,0.5,"Akanda Adjourns Special Meeting of Shareholders"
MNTS,30,B,WAIT,22.2,4.60,-10.2,+6.5,5.7,"Fully Booked Momentus Mission Advances Through Preliminary Design Review; Drivin"
