Symbol,Score,Grade,Decision,RVOL,Price,Change%,Gap%,Float_M,Catalyst,CriticVerdict,CriticConf,OrigDecision,DecisionChanged,CatalystVerified,Industry,CriticReasoning,Disqualified,Sector,Country,SectorETF,TickerPerf1M,SectorPerf1M,VsSectorPct
DARE,47,A,GO,13.3,3.55,+14.2,+5.5,13.3,"Dare Bioscience; Inc. (DARE) Reports Q4 Loss; Lags Revenue Estimates [Yahoo Fina",CONFIRM,0.90,GO,False,True,"Biotechnology","The signal is sound as the catalyst status is valid (0.90) and there are no dang",False,"Healthcare","United States",XLV,96.1,-1.1,97.2
DGXX,47,A,GO,9.7,5.32,+34.6,+35.2,59.4,"Digi Power X secures $1.1B data center contract with AI chip maker Cerebras Syst",CONFIRM,0.95,GO,False,True,"Utilities - Independent Power Producers","The signal is sound with a valid catalyst and strong market position in the util",False,"Utilities","United States",XLU,146.7,0.6,146.1
FTRE,44,A,GO,7.1,14.10,+15.1,+14.0,93.0,"Fortrea Holdings Inc. (FTRE) Beats Q1 Earnings Estimates [Yahoo]",CONFIRM,0.95,GO,False,True,"Biotechnology","The signal is sound with a valid catalyst status and no danger flags. The stock ",False,"Healthcare","United States",XLV,56.8,-1.1,57.9
IART,44,A,GO,5.4,12.54,+17.7,+15.1,66.6,"Integra LifeSciences (IART) Beats Q1 Earnings and Revenue Estimates",CONFIRM,0.90,GO,False,True,"Medical Devices","IART (Integra LifeSciences) has beaten Q1 earnings and revenue estimates; indica",False,"Healthcare","United States",XLV,36.4,-1.1,37.5
VRDN,44,A,GO,6.3,18.62,+32.4,+35.6,93.7,"How This Amgen Rival; Up 30%; Plans To Shake Its Grip In Thyroid Eye Disease [Ya",CONFIRM,0.95,GO,False,False,"Biotechnology","The signal is sound based on the provided data. The catalyst status is invalid; ",False,"Healthcare","United States",XLV,31.3,-1.0,32.3
BLZE,42,A,GO,4.9,7.74,+66.8,+60.8,56.7,"Backblaze (NASDAQ:BLZE) Soars on Q1 Beat; Raised Guidance",CONFIRM,0.95,GO,False,True,"Software - Infrastructure","The signal is sound based on the positive catalyst of a Q1 beat and raised guida",False,"Technology","United States",XLK,107.2,20.3,86.9
VTIX,41,A,GO,14.0,3.98,+13.5,+14.0,14.8,"Virtuix to Lead Infantry Training Project for U.S. Marine Corps [Yahoo]",CONFIRM,0.95,GO,False,False,"Computer Hardware","The signal is sound with a high confidence level. The catalyst status is invalid",False,"Technology","United States",XLK,-34.5,20.3,-54.8
TONX,39,B,WAIT,8.8,2.46,+17.7,+11.5,40.7,"TON Strategy Company Highlights TON Network Performance Upgrade; Lower Transacti",CONFIRM,0.95,WAIT,True,True,"Software - Application","The signal is sound with a high confidence level. The catalyst highlights a posi",False,"Technology","United States",XLK,7.5,20.3,-12.8
PYXS,38,B,WAIT,8.5,1.87,+6.2,+6.8,51.3,"Wedbush Initiates Pyxis Oncology at Outperform With $6 Price Target",CONFIRM,0.95,WAIT,True,True,"Biotechnology","The signal is sound with a valid catalyst from Wedbush; strong volume; and no da",False,"Healthcare","United States",XLV,29.7,-1.1,30.8
OUST,37,B,WAIT,7.6,28.89,+2.6,+6.2,59.0,"Does Ouster’s Native Color Rev8 Lidar Breakthrough Change The Bull Case For Oust",CONFIRM,0.75,WAIT,True,True,"Electronic Components","The signal is sound; with a valid catalyst status (0.75) and no danger flags. Th",False,"Technology","United States",XLK,50.1,20.3,29.8
EVER,35,B,WAIT,5.2,21.42,+46.6,+31.3,27.0,"EverQuote Inc (NASDAQ:EVER) Surges on Q1 Earnings Beat and Upbeat Outlook",CONFIRM,0.95,WAIT,True,True,"Internet Content & Information","The signal is sound based on the positive catalyst of Q1 earnings beat and upbea",False,"Communication Services","United States",XLC,38.7,3.5,35.2
TRON,34,B,WAIT,9.5,2.36,+17.2,+6.0,50.1,"Justin Sun’s Tron Is Buying Its Own Token And He Says It Will Not Stop [Yahoo]",CONFIRM,0.75,WAIT,True,True,"Leisure","The signal is sound based on the catalyst status (VALID; 0.75) and no danger fla",False,"Consumer Cyclical","United States",XLY,-2.9,9.0,-11.9
SEAT,32,B,WAIT,10.4,6.82,+6.1,+9.9,3.6,"Vivid Seats Inc. (SEAT) Reports Q1 Loss; Tops Revenue Estimates",DOWNGRADE,0.85,WAIT,False,True,"Internet Content & Information","The signal is sound but there is a discrepancy between the RVOL (10.4x) and the ",False,"Communication Services","United States",XLC,-3.6,3.5,-7.1
RDZN,30,B,WAIT,12.8,1.98,+1.3,+7.7,48.9,"Roadzen Announces Pricing of $8 Million Registered Direct Offering of Ordinary S",CONFIRM,0.95,WAIT,True,False,"Software - Application","The signal is sound with a high confidence level. The catalyst status is invalid",False,"Technology","United States",XLK,71.1,20.3,50.8
