Symbol,Score,Grade,Decision,RVOL,Price,Change%,Gap%,Float_M,Catalyst
USEG,49,A_plus,GO,8.6,1.26,+35.9,+47.2,36.0,"Top movers in Monday's pre-market session"
RMAX,45,A,GO,5.2,10.07,+26.0,+19.8,15.3,"Re/Max shares rise 26.1% on acquisition deal with tech-focused real brokerage"
TORO,38,B,WAIT,9.7,8.23,+19.2,+15.1,10.2,""
GLND,37,B,WAIT,28.9,6.52,+5.0,+28.4,9.3,"Greenland Energy (NASDAQ: GLND) Signs Halliburton Agreement for 2026 Jameson Lan"
ELPW,35,B,WAIT,19.8,4.25,+17.4,+23.8,1.4,"Top movers analysis one hour before the close of the markets on 2026-04-24: top "
QUIK,35,B,WAIT,6.6,16.26,+24.3,+10.9,16.1,""
SGMT,35,B,WAIT,7.2,8.28,+41.3,+23.2,27.1,"Sagimet Biosciences to Fund Phase 3 Acne Trial in US With $175 Million Offering"
SUPX,35,B,WAIT,15.6,8.90,-0.4,+10.6,8.8,""
HTCO,34,B,WAIT,19.1,18.47,+64.2,+13.8,2.4,"Top movers in Monday's pre-market session"
LAW,34,B,WAIT,6.6,4.84,+17.2,+16.2,24.6,""
TRAK,32,B,WAIT,5.6,8.89,+9.5,+19.3,12.1,"Top movers in Monday's pre-market session"
IPWR,31,B,WAIT,12.8,4.47,-0.7,+7.6,10.2,"Top stock movements in today's session."
MX,31,B,WAIT,6.2,4.91,-6.5,+7.1,26.6,"Magnachip (MX) Soars 23.0%: Is Further Upside Left in the Stock?"
RDZN,31,B,WAIT,8.8,1.36,+1.8,+5.2,48.9,"Roadzen’s VehicleCare Wins Major Claims Mandate from One of India’s Largest Insu"
KLTR,30,B,WAIT,6.0,1.49,+16.4,+9.4,72.6,"Daily – Vickers Top Insider Picks for 04/27/2026"
