Symbol,Score,Grade,Decision,RVOL,Price,Change%,Gap%,Float_M,Catalyst,CriticVerdict,CriticConf,OrigDecision,DecisionChanged,CatalystVerified,Industry,CriticReasoning,Disqualified,Sector,Country,SectorETF,TickerPerf1M,SectorPerf1M,VsSectorPct
DGXX,47,A,GO,9.7,5.33,+34.9,+35.2,59.4,"Digi Power X secures $1.1B data center contract with AI chip maker Cerebras Syst",CONFIRM,0.95,GO,False,True,"Utilities - Independent Power Producers","The signal is sound with a valid catalyst and strong market position in the util",False,"Utilities","United States",XLU,145.9,0.8,145.1
FTRE,44,A,GO,7.1,14.07,+14.9,+14.0,93.0,"Fortrea Holdings Inc. (FTRE) Beats Q1 Earnings Estimates [Yahoo]",CONFIRM,0.95,GO,False,True,"Biotechnology","The signal is sound with a valid catalyst status and no danger flags. The stock ",False,"Healthcare","United States",XLV,57.5,-1.0,58.5
IART,44,A,GO,5.4,12.74,+19.6,+15.1,66.6,"Integra LifeSciences (IART) Beats Q1 Earnings and Revenue Estimates",CONFIRM,0.90,GO,False,True,"Medical Devices","IART (Integra LifeSciences) has outperformed its earnings and revenue estimates;",False,"Healthcare","United States",XLV,38.0,-1.0,39.0
BLZE,42,A,GO,4.9,7.93,+70.9,+60.8,56.7,"Backblaze (NASDAQ:BLZE) Soars on Q1 Beat; Raised Guidance",CONFIRM,0.95,GO,False,True,"Software - Infrastructure","The signal is sound based on the positive catalyst of a Q1 beat and raised guida",False,"Technology","United States",XLK,110.8,20.3,90.5
TONX,39,B,WAIT,8.8,2.44,+16.8,+11.5,40.7,"TON Strategy Company Highlights TON Network Performance Upgrade; Lower Transacti",CONFIRM,0.95,WAIT,True,True,"Software - Application","The signal is sound based on the Catalyst status (VALID); positive catalyst high",False,"Technology","United States",XLK,7.5,20.3,-12.8
VRDN,37,B,WAIT,6.3,18.48,+31.4,+35.6,93.7,"How This Amgen Rival; Up 30%; Plans To Shake Its Grip In Thyroid Eye Disease [Ya",CONFIRM,0.95,WAIT,True,False,"Biotechnology","The signal is sound with a strong catalyst and positive momentum. The stock is u",False,"Healthcare","United States",XLV,29.4,-1.0,30.4
TRON,34,B,WAIT,9.5,2.29,+13.7,+6.0,50.1,"Justin Sun’s Tron Is Buying Its Own Token And He Says It Will Not Stop [Yahoo]",CONFIRM,0.75,WAIT,True,True,"Leisure","The signal is valid (Catalyst status: VALID (0.75)) and there are no danger flag",False,"Consumer Cyclical","United States",XLY,-4.2,9.1,-13.3
DARE,32,B,WAIT,13.3,3.50,+12.5,+5.5,13.3,"Dare Bioscience; Inc. (DARE) Reports Q4 Loss; Lags Revenue Estimates [Yahoo Fina",CONFIRM,0.90,WAIT,False,True,"Biotechnology","The signal is sound with a valid catalyst and no danger flags. The company has r",False,"Healthcare","United States",XLV,93.4,-1.1,94.5
SEAT,32,B,WAIT,10.4,6.61,+2.8,+9.9,3.6,"Vivid Seats Inc. (SEAT) Reports Q1 Loss; Tops Revenue Estimates [Yahoo Finance]",DOWNGRADE,0.85,WAIT,False,True,"Internet Content & Information","The signal is sound but there is a danger flag indicating a potential manipulati",False,"Communication Services","United States",XLC,-2.7,3.5,-6.2
CYRX,30,B,WAIT,4.4,12.44,+21.8,+7.5,47.8,"Cryoport Inc (NASDAQ:CYRX) Reports Q1 2026 Revenue Beat Amid Wider Net Loss and ",CONFIRM,0.75,WAIT,True,True,"Integrated Freight & Logistics","The signal is sound with a valid catalyst and no danger flags. The company repor",False,"Industrials","United States",XLI,35.7,4.8,30.9
OUST,30,B,WAIT,7.6,28.70,+1.9,+6.2,59.0,"Does Ouster’s Native Color Rev8 Lidar Breakthrough Change The Bull Case For Oust",CONFIRM,0.75,WAIT,True,True,"Electronic Components","The signal is sound; with a valid catalyst status and no danger flags. Ouster’s ",False,"Technology","United States",XLK,51.0,20.3,30.7
RDZN,30,B,WAIT,12.8,1.97,+1.0,+7.7,48.9,"Roadzen Announces Pricing of $8 Million Registered Direct Offering of Ordinary S",CONFIRM,0.50,WAIT,False,False,"Software - Application","LLM unavailable — original preserved",False,"Technology","United States",XLK,70.6,20.3,50.3
