Symbol,Score,Grade,Decision,RVOL,Price,Change%,Gap%,Float_M,Catalyst
SAGT,50,A_plus,GO,11.5,2.89,+70.0,+80.3,0.3,"Get insights into the top gainers and losers of Wednesday's pre-market session."
FCEL,43,A,GO,9.8,11.19,+12.6,+14.3,52.9,"Bloom Energy Hikes AI-Fueled Outlook Above Views After Huge Earnings Beat"
PRCH,42,A,GO,6.5,10.32,+20.1,+17.6,82.0,"Porch Group Inc (PRCH) Q1 2026 Earnings Call Highlights: Strong Growth and Raise"
KALV,41,A,GO,6.4,26.73,+38.9,+38.8,37.9,"Get insights into the top gainers and losers of Wednesday's pre-market session."
FVRR,39,B,WAIT,4.6,12.69,+22.5,+17.3,29.9,"Fiverr Jumps 10% After Revenue Beat and Upgraded Profit Outlook"
SKYQ,37,B,WAIT,32.9,6.23,+5.6,+6.8,3.0,"Sky Quarry Issues Request for Proposals to Accelerate Development of One Hundred"
GCTK,33,B,WAIT,18.1,1.10,+30.8,+21.9,1.8,"Get insights into the top gainers and losers of Wednesday's pre-market session."
RDZN,33,B,WAIT,9.3,1.64,+11.6,+13.6,48.9,"Loss-Making Roadzen; Inc. (NASDAQ:RDZN) Expected To Breakeven In The Medium-Term"
WALD,33,B,WAIT,10.1,1.01,+29.6,+33.5,47.1,"Waldencast announces conclusion of SEC investigation"
AKAN,32,B,WAIT,37.2,21.00,+20.1,+13.6,0.5,"Get insights into the top gainers and losers of Wednesday's pre-market session."
OPFI,32,B,WAIT,2.9,9.78,+8.6,+8.9,24.4,"OppFi Announces Definitive Agreement to Acquire BNCCORP; Inc. and BNC National B"
TRAW,32,B,WAIT,12.9,1.36,+12.5,+15.7,7.7,""
MNTS,30,B,WAIT,22.2,4.90,-4.3,+6.5,5.7,"Fully Booked Momentus Mission Advances Through Preliminary Design Review; Drivin"
